Title,WorkoutDay,DistanceInMeters,TimeTotalInHours,CadenceAverage,HeartRateAverage,HeartRateMax,IF,TSS,Pace,WatchPace
Base,2023-04-02,6010,0.691863894462585,160,168.0,176.0,0.736906610288137,41.24,6.9071270661822135,06:54 per km
Base,2023-04-05,5480,0.585661053657532,162,163.0,172.0,0.793758153820644,40.35,6.4123473028196925,06:25 per km
Base,2023-04-09,8897,1.00526106357574,160,157.0,164.0,0.750632788701191,62.74,6.7793260441209835,06:47 per km
Fartlek,2023-04-11,8256,0.932966649532318,158,157.0,178.0,0.751066208283524,58.21,6.7802808832290555,06:47 per km
Base,2023-04-12,4242,0.496455550193787,160,149.0,161.0,0.727931282455584,28.63,7.022002124381712,07:01 per km
Base,2023-04-12,2941,0.351216673851013,152,155.0,170.0,0.70965585443038,19.08,7.165250061564359,07:10 per km
Base,2023-04-13,3692,0.420877784490585,158,152.0,163.0,0.751680053547523,25.79,6.839833984137351,06:50 per km
Base,2023-04-13,3854,0.437552750110626,162,151.0,158.0,0.746330158730159,26.44,6.811926571519865,06:49 per km
Base,2023-04-19,9268,1.03910553455353,158,153.0,162.0,0.754088508207653,65.52,6.727053525378917,06:44 per km
Base,2023-04-21,8541,0.870711147785187,162,173.0,194.0,0.828802232854864,66.02,6.116692292133382,06:07 per km
Base,2023-04-23,11461,1.15221667289734,162,166.0,176.0,0.843857694314741,91.22,6.032021671218951,06:02 per km
Fartlek,2023-04-25,8593,0.850447237491608,164,167.0,189.0,0.857787041331416,69.05,5.9381862271030466,05:56 per km
Base,2023-04-28,9290,0.956469476222992,162,155.0,162.0,0.821493169993481,71.42,6.177413194120509,06:11 per km
Fartlek,2023-04-29,8781,0.855297267436981,164,163.0,186.0,0.868045139791579,71.11,5.844190416378414,05:51 per km
Base,2023-05-02,9393,0.963630557060242,164,151.0,165.0,0.826486294926343,72.83,6.155417164230227,06:09 per km
Base,2023-05-03,9793,1.01711666584015,162,151.0,158.0,0.815637629710541,75.0,6.2316961044020225,06:14 per km
Base,2023-05-05,9540,0.911444425582886,166,155.0,166.0,0.886795503952554,79.21,5.732354877879787,05:44 per km
Tempo,2023-05-07,10169,0.941527783870697,164,172.0,185.0,0.915605568004653,87.32,5.55528243015457,05:33 per km
Base,2023-05-10,10932,1.07337772846222,166,156.0,179.0,0.862640143675903,88.64,5.891205973996816,05:53 per km
Fartlek,2023-05-11,8999,0.831049978733063,168,163.0,188.0,0.919193494299128,77.43,5.540948852537368,05:32 per km
Base,2023-05-12,8067,0.81745833158493,164,150.0,161.0,0.843340385361846,64.11,6.080017341650651,06:05 per km
Fartlek,2023-05-14,10135,0.940672218799591,168,161.0,189.0,0.914507978691392,87.01,5.568853786677401,05:34 per km
Base,2023-05-15,6665,0.723455548286438,160,140.0,150.0,0.780654761904762,48.44,6.512728116607094,06:31 per km
Base,2023-05-17,10397,1.04155004024506,164,151.0,160.0,0.845378666666667,82.55,6.010676388833663,06:01 per km
Fartlek,2023-05-18,9583,0.849833309650421,168,162.0,187.0,0.955168300653595,85.56,5.320880578005349,05:19 per km
Progression,2023-05-20,11831,1.11648893356323,166,163.0,194.0,0.897625621890547,99.95,5.662187136657408,05:40 per km
Base,2023-05-23,9734,0.94489449262619,164,146.0,157.0,0.872504409171076,79.58,5.824293153644072,05:49 per km
Fartlek,2023-05-24,9391,0.834197223186493,168,163.0,189.0,0.954702937249666,83.87,5.3297660942593525,05:20 per km
Base,2023-05-29,8611,0.851675033569336,166,148.0,159.0,0.854645776799102,68.64,5.934328418785293,05:56 per km
Fartlek,2023-05-30,9599,0.844033360481262,168,161.0,189.0,0.966657446726851,86.98,5.275758061139256,05:17 per km
Base,2023-06-01,6520,0.607436120510101,166,154.0,164.0,0.909282121627801,54.95,5.589902949479457,05:35 per km
Fartlek,2023-06-02,11367,1.06081390380859,168,164.0,190.0,0.905569692276488,96.51,5.599439977875903,05:36 per km
Base,2023-06-04,8554,0.852308332920074,166,147.0,157.0,0.850104268491365,67.98,5.978314236053827,05:59 per km
Base,2023-06-06,9227,0.925397217273712,162,156.0,167.0,0.843328055589578,72.76,6.017539074067706,06:01 per km
Base,2023-06-07,6885,0.718208372592926,162,141.0,152.0,0.81203596287703,52.04,6.25889649318454,06:16 per km
Base,2023-06-11,9678,1.00887501239777,164,142.0,150.0,0.805848108254833,72.59,6.254649797878302,06:15 per km
Fartlek,2023-06-12,11430,1.02505278587341,168,165.0,191.0,0.943737486707873,101.19,5.3808545190205255,05:23 per km
Base,2023-06-14,14217,1.47892224788666,164,150.0,168.0,0.817272996407948,110.5,6.241495032228993,06:14 per km
Base,2023-06-15,7674,0.77364718914032,164,144.0,150.0,0.838552789865327,59.88,6.048844324787491,06:03 per km
Base,2023-06-16,2815,0.277266651391983,164,145.0,151.0,0.860295591182365,22.01,5.9097687685680205,05:55 per km
Intervals,2023-06-16,6678,0.593738853931427,168,172.0,189.0,0.95310715956949,58.96,5.334580897856488,05:20 per km
Base,2023-06-19,8511,0.876988887786865,162,140.0,148.0,0.816293053960169,64.5,6.182508902269052,06:11 per km
Tempo,2023-06-20,10524,0.930566668510437,168,162.0,186.0,0.960222815223298,94.88,5.305397197893028,05:18 per km
Base,2023-06-21,9332,0.929730534553528,164,146.0,158.0,0.850391395279355,74.35,5.977693106859374,05:59 per km
Base,2023-06-23,8447,0.834547281265259,166,153.0,162.0,0.85560217939471,67.36,5.927884086174446,05:56 per km
Base,2023-06-25,9623,0.94768887758255,166,140.0,150.0,0.856478198417119,76.91,5.908898748306454,05:55 per km
